SiteID,County,City,DBA,Licensee,PremisesStreet,PremisesCityState,LicenseNumber,LicenseType,Status,IssueDate,EffectiveDate,ExpiryDate
13348,Fayette,Lexington,Malone's Restaurant,"BHG PALOMAR, LLC ",3735 Palomar Centre Dr Ste 200,"Lexington, KY 40513",034-SB-1036,Supplemental Bar License,Active,5/13/13,6/25/13,11/30/22
33610,Fayette,Lexington,MAMA TEQUILA,"Mama Tequila, LLC ",367 W SHORT ST STE 150,"Lexington, KY 40507",034-SB-187531,Supplemental Bar License,Active,12/23/21,12/23/21,11/30/22
33610,Fayette,Lexington,MAMA TEQUILA,"Mama Tequila, LLC ",367 W SHORT ST STE 150,"Lexington, KY 40507",034-NQ4-187532,NQ4 Retail Malt Beverage Drink License,Active,12/23/21,12/23/21,11/30/22
33610,Fayette,Lexington,MAMA TEQUILA,"Mama Tequila, LLC ",367 W SHORT ST STE 150,"Lexington, KY 40507",034-LD-187533,Quota Retail Drink License,Active,12/23/21,12/23/21,11/30/22
33610,Fayette,Lexington,MAMA TEQUILA,"Mama Tequila, LLC ",367 W SHORT ST STE 150,"Lexington, KY 40507",034-RS-187534,Special Sunday Retail Drink License,Active,12/23/21,12/23/21,11/30/22
3998,Fayette,Lexington,Man O'War Post,"MAN-O-WAR POST #8 KENTUCKY, INC., AMERICAN LEGION ",1230 Man O War Pl,"Lexington, KY 40504",034-NQ3-1011,NQ3 Retail Drink License,Active,5/13/13,6/25/13,11/30/22
3998,Fayette,Lexington,Man O'War Post,"MAN-O-WAR POST #8 KENTUCKY, INC., AMERICAN LEGION ",1230 Man O War Pl,"Lexington, KY 40504",034-RS-0696,Special Sunday Retail Drink License,Active,3/19/08,3/19/08,11/30/22
13827,Fayette,Lexington,Manchester Music Hall,"Old Tarr Entertainment, LLC ",899 Manchester St,"Lexington, KY 40507",034-NQ4-3388,NQ4 Retail Malt Beverage Drink License,Active,10/2/15,10/2/15,11/30/22
13827,Fayette,Lexington,Manchester Music Hall,"Old Tarr Entertainment, LLC ",899 Manchester St,"Lexington, KY 40507",034-LD-2467,Quota Retail Drink License,Active,10/2/15,10/2/15,11/30/22
13827,Fayette,Lexington,Manchester Music Hall,"Old Tarr Entertainment, LLC ",899 Manchester St,"Lexington, KY 40507",034-RS-4190,Special Sunday Retail Drink License,Active,10/2/15,10/2/15,11/30/22
13827,Fayette,Lexington,Manchester Music Hall,"Old Tarr Entertainment, LLC ",899 Manchester St,"Lexington, KY 40507",034-SB-1556,Supplemental Bar License,Active,10/2/15,10/2/15,11/30/22
279,Fayette,Lexington,Mancinos Pizza & Grinders,"KATSEBRA, INC. ",1590- A Leestown Rd,"Lexington, KY 40511",034-NQ4-3323,NQ4 Retail Malt Beverage Drink License,Active,6/15/15,6/15/15,11/30/22
31373,Fayette,Lexington,mannys super market,"Sand Flea Investments, Inc. ",1747 Alexandria Dr,"Lexington, KY 40504",034-NQ-190129,NQ Retail Malt Beverage Package License,Active,4/22/22,4/22/22,11/30/22
254,Fayette,Lexington,Marathon,"Manaslu Investment, LLC ",274 New Circle Rd Ne,"Lexington, KY 40505",034-NQ-2888,NQ Retail Malt Beverage Package License,Active,5/13/13,6/25/13,11/30/22
7328,Fayette,Lexington,Marathon Food Mart,"AW & AW, LLC ",300 N Martin Luther King Blvd,"Lexington, KY 40508",034-NQ-3159,NQ Retail Malt Beverage Package License,Active,5/13/13,6/25/13,11/30/22
24885,Fayette,Lexington,Marathon Foodmart,Naz Three L.L.C. ,781 E New Circle Rd,"Lexington, KY 40505",034-NQ-6224,NQ Retail Malt Beverage Package License,Active,6/1/17,6/1/17,11/30/22
